LAU;Total;Cow;Sheep;Goat;NUTS_2013
Portugal;1908565;1864204;25243;19118;PT
Continente;1256230;1212398;25243;18589;1
Norte;714241;711125;1839;1276;11
AltoMinho;26095;26007;0;88;111
ArcosdeValdevez;455;455;0;0;1111601
Caminha;0;0;0;0;1111602
Melgaço;69;0;0;69;1111603
Monção;0;0;0;0;1111604
ParedesdeCoura;1746;1746;0;0;1111605
PontedaBarca;0;0;0;0;1111606
PontedeLima;16586;16567;0;19;1111607
Valença;0;0;0;0;1111608
VianadoCastelo;7239;7239;0;0;1111609
VilaNovadeCerveira;0;0;0;0;1111610
Cávado;207089;207089;0;0;112
Amares;0;0;0;0;1120301
Barcelos;176034;176034;0;0;1120302
Braga;11247;11247;0;0;1120303
Esposende;16584;16584;0;0;1120306
TerrasdeBouro;0;0;0;0;1120310
VilaVerde;3224;3224;0;0;1120313
Ave;61107;60860;0;246;119
CabeceirasdeBasto;0;0;0;0;1190304
Fafe;1230;1230;0;0;1190307
Guimarães;9474;9474;0;0;1190308
MondimdeBasto;0;0;0;0;1191705
PóvoadeLanhoso;2334;2334;0;0;1190309
VieiradoMinho;0;0;0;0;1190311
VilaNovadeFamalicão;48069;47823;0;246;1190312
Vizela;0;0;0;0;1190314
A.M.Porto;368277;367923;0;354;11A
Arouca;6654;6654;0;0;11A0104
Espinho;0;0;0;0;11A0107
Gondomar;163;163;0;0;11A1304
Maia;16957;16957;0;0;11A1306
Matosinhos;14925;14925;0;0;11A1308
OliveiradeAzeméis;16906;16906;0;0;11A0113
Paredes;0;0;0;0;11A1310
Porto;20347;20347;0;0;11A1312
PóvoadeVarzim;77308;77052;0;256;11A1313
SantaMariadaFeira;3590;3590;0;0;11A0109
SantoTirso;26820;26820;0;0;11A1314
SãoJoãodaMadeira;0;0;0;0;11A0116
Trofa;2058;2058;0;0;11A1318
ValedeCambra;366;366;0;0;11A0119
Valongo;2280;2280;0;0;11A1315
ViladoConde;179419;179321;0;98;11A1316
VilaNovadeGaia;484;484;0;0;11A1317
AltoTâmega;12059;11840;204;15;11B
Boticas;0;0;0;0;11B1702
Chaves;6869;6810;59;0;11B1703
Montalegre;0;0;0;0;11B1706
RibeiradePena;0;0;0;0;11B1709
Valpaços;156;0;145;11;11B1712
VilaPoucadeAguiar;5034;5030;0;4;11B1713
TâmegaeSousa;20103;20042;0;61;11C
Amarante;61;0;0;61;11C1301
Baião;0;0;0;0;11C1302
CastelodePaiva;0;0;0;0;11C0106
CeloricodeBasto;0;0;0;0;11C0305
Cinfães;0;0;0;0;11C1804
Felgueiras;1700;1700;0;0;11C1303
Lousada;2824;2824;0;0;11C1305
MarcodeCanaveses;0;0;0;0;11C1307
PaçosdeFerreira;8413;8413;0;0;11C1309
Penafiel;7105;7105;0;0;11C1311
Resende;0;0;0;0;11C1813
Douro;11014;9791;966;257;11D
Alijó;22;0;0;22;11D1701
Armamar;0;0;0;0;11D1801
CarrazedadeAnsiães;34;0;31;2;11D0403
FreixodeEspadaàCinta;180;0;170;10;11D0404
Lamego;33;33;0;0;11D1805
MesãoFrio;0;0;0;0;11D1704
MoimentadaBeira;5149;5129;0;20;11D1807
Murça;0;0;0;0;11D1707
Penedono;297;187;33;77;11D1812
PesodaRégua;0;0;0;0;11D1708
Sabrosa;1425;1425;0;0;11D1710
SantaMartadePenaguião;0;0;0;0;11D1711
SãoJoãodaPesqueira;84;0;23;60;11D1815
Sernancelhe;1580;1567;0;13;11D1818
Tabuaço;0;0;0;0;11D1819
Tarouca;536;536;0;0;11D1820
TorredeMoncorvo;280;0;280;0;11D0409
VilaNovadeFozCôa;480;0;427;52;11D0914
VilaReal;914;914;0;0;11D1714
TerrasdeTrás-os-Montes;8498;7573;670;255;11E
AlfândegadaFé;228;0;166;62;11E0401
Bragança;10;0;10;0;11E0402
MacedodeCavaleiros;85;0;49;35;11E0405
MirandadoDouro;1784;1784;0;0;11E0406
Mirandela;218;0;182;37;11E0407
Mogadouro;6102;5789;205;109;11E0408
VilaFlor;52;0;44;8;11E0410
Vimioso;4;0;0;4;11E0411
Vinhais;15;0;15;0;11E0412
Centro;208413;183375;17585;7453;16
Oeste;14320;12036;755;1529;16B
Alcobaça;4407;4339;0;68;16B1001
Alenquer;179;0;14;165;16B1101
ArrudadosVinhos;0;0;0;0;16B1102
Bombarral;45;0;45;0;16B1005
Cadaval;88;0;15;72;16B1104
CaldasdaRainha;22;0;0;22;16B1006
Lourinhã;635;0;228;407;16B1108
Nazaré;2584;2581;0;3;16B1011
Óbidos;32;0;0;32;16B1012
Peniche;239;0;147;92;16B1014
SobraldeMonteAgraço;1170;999;50;121;16B1112
TorresVedras;4919;4118;255;546;16B1113
RegiãodeAveiro;96067;96067;0;0;16D
Águeda;5792;5792;0;0;16D0101
Albergaria-a-Velha;10019;10019;0;0;16D0102
Anadia;0;0;0;0;16D0103
Aveiro;5767;5767;0;0;16D0105
Estarreja;25531;25531;0;0;16D0108
Ílhavo;578;578;0;0;16D0110
Murtosa;20866;20866;0;0;16D0112
OliveiradoBairro;2374;2374;0;0;16D0114
Ovar;20738;20738;0;0;16D0115
SeverdoVouga;137;137;0;0;16D0117
Vagos;4264;4264;0;0;16D0118
RegiãodeCoimbra;41960;40336;1333;291;16E
Arganil;33;0;13;20;16E0601
Cantanhede;5715;5715;0;0;16E0602
Coimbra;1344;1231;108;5;16E0603
Condeixa-a-Nova;3;0;3;0;16E0604
FigueiradaFoz;9970;9965;5;0;16E0605
Góis;0;0;0;0;16E0606
Lousã;31;31;0;0;16E0607
Mealhada;628;628;0;0;16E0111
Mira;2423;2423;0;0;16E0608
MirandadoCorvo;0;0;0;0;16E0609
Montemor-o-Velho;17634;17497;137;0;16E0610
Mortágua;0;0;0;0;16E1808
OliveiradoHospital;483;0;360;123;16E0611
PampilhosadaSerra;0;0;0;0;16E0612
Penacova;0;0;0;0;16E0613
Penela;138;0;138;0;16E0614
Soure;3200;2847;218;135;16E0615
Tábua;359;0;351;8;16E0616
VilaNovadePoiares;0;0;0;0;16E0617
RegiãodeLeiria;10511;9770;100;642;16F
Alvaiázere;120;0;0;120;16F1002
Ansião;463;0;67;396;16F1003
Batalha;0;0;0;0;16F1004
CastanheiradePêra;0;0;0;0;16F1007
FigueiródosVinhos;32;0;32;0;16F1008
Leiria;8312;8294;0;18;16F1009
MarinhaGrande;0;0;0;0;16F1010
PedrógãoGrande;16;0;0;16;16F1013
Pombal;403;310;1;92;16F1015
PortodeMós;1166;1166;0;0;16F1016
ViseuDãoLafões;7036;4408;2049;579;16G
AguiardaBeira;1650;1023;209;418;16G0901
CarregaldoSal;234;0;233;1;16G1802
CastroDaire;166;120;0;46;16G1803
Mangualde;501;0;500;1;16G1806
Nelas;193;0;181;12;16G1809
OliveiradeFrades;409;409;0;0;16G1810
PenalvadoCastelo;68;0;68;0;16G1811
SantaCombaDão;152;0;150;1;16G1814
SãoPedrodoSul;268;268;0;0;16G1816
Sátão;707;707;0;0;16G1817
Tondela;683;0;582;100;16G1821
VilaNovadePaiva;563;563;0;0;16G1822
Viseu;768;643;125;0;16G1823
Vouzela;676;676;0;0;16G1824
BeiraBaixa;11257;6431;3672;1153;16H
CasteloBranco;2309;2;1907;401;16H0502
Idanha-a-Nova;7614;6430;1154;30;16H0505
Oleiros;0;0;0;0;16H0506
